['KL Wishart', '', 1, 52, '', 2, '-', '-', '-', 1935, 1935, 16, 706, 23.53, 0, '-', 1908, 0, 0, 2]
['RL Fuller', 'Right arm fast medium', 1, 1, '', 1, 48, 12, 0, 1935, 1935, 8, 280, 28.0, 12, 43.66, 1913, 0, 0, 0]
['GH Mudie', 'Slow left arm orthodox', 1, 5, '', 1, 174, 40, 3, 1935, 1935, 19, 578, 22.23, 42, 35.45, 1915, 0, 0, 0]
['JH Cameron', 'Legbreak', 2, 6, '', 3, 232, 88, 3, 1939, 1939, 105, 2772, 18.23, 184, 30.77, 1914, 0, 0, 0]
['CB Clarke', 'Legbreak googly', 3, 3, '', 3, 456, 261, 6, 1939, 1939, 97, 1292, 12.3, 333, 26.37, 1918, 0, 0, 0]
['JB Stollmeyer', 'Legbreak googly', 32, 2159, '', 51, 990, 507, 13, 1939, 1955, 117, 7942, 44.61, 55, 45.12, 1921, 13, 0, 55]
['KH Weekes', 'Left arm bowler', 2, 173, '', 3, '-', '-', '-', 1939, 1939, 30, 1731, 40.25, 12, 38.66, 1912, 0, 0, 0]
['GE Gomez', 'Right arm medium', 29, 1243, '', 41, 5236, 1590, 58, 1939, 1954, 126, 6764, 43.63, 200, 25.26, 1919, 1, 0, 0]
['EAV Williams', 'Right arm fast medium', 4, 113, '', 6, 796, 241, 9, 1939, 1948, 42, 1479, 26.89, 116, 29.19, 1914, 0, 0, 0]
['TF Johnson', 'Left arm fast', 1, 9, '', 0, 240, 129, 3, 1939, 1939, 18, 90, 9.0, 50, 21.5, 1917, 0, 0, 0]
['VH Stollmeyer', 'Legbreak googly', 1, 96, '', 1, '-', '-', '-', 1939, 1939, 33, 2096, 42.77, 15, 40.79, 1916, 0, 0, 0]
['RJ Christiani', 'Right arm offbreak', 22, 896, '', 34, 234, 108, 3, 1948, 1954, 88, 5103, 40.5, 18, 60.44, 1920, 0, 0, 0]
['W Ferguson', 'Legbreak', 8, 200, '', 7, 2568, 1165, 34, 1948, 1954, 49, 1225, 23.55, 165, 31.55, 1917, 0, 0, 1]
['BBM Gaskin', 'Right arm medium', 2, 17, '', 3, 474, 158, 2, 1948, 1948, 41, 782, 14.21, 139, 31.66, 1908, 0, 0, 0]
['JDC Goddard', 'Right arm medium, Right arm offbreak', 27, 859, '', 28, 2931, 1050, 33, 1948, 1957, 111, 3769, 33.35, 146, 26.33, 1919, 22, 0, 4]
['PEW Jones', 'Right arm fast', 9, 47, '', 9, 1842, 751, 25, 1948, 1951, 61, 775, 14.09, 169, 26.81, 1917, 0, 0, 0]
['CL Walcott', 'Right arm fast medium', 44, 3798, '', 67, 1194, 408, 11, 1948, 1960, 146, 11820, 56.55, 35, 36.25, 1926, 0, 15, 3]
['ED Weekes', 'Legbreak', 48, 4455, '', 76, 122, 77, 1, 1948, 1958, 152, 12010, 55.34, 17, 43.0, 1925, 0, 0, 1]
['AG Ganteaume', '', 1, 112, '', 1, '-', '-', '-', 1948, 1948, 50, 2785, 34.81, 0, '-', 1921, 0, 0, 1]
['FMM Worrell', 'Left arm fast medium, Left arm slow', 51, 3860, '', 78, 7141, 2672, 69, 1948, 1963, 208, 15025, 54.24, 349, 28.98, 1924, 15, 0, 6]
['LR Pierre', 'Right arm fast medium', 1, '-', '-', 0, 42, 28, 0, 1948, 1948, 35, 131, 6.23, 102, 24.72, 1921, 0, 0, 0]
['J Trim', 'Right arm fast medium', 4, 21, '', 4, 794, 291, 18, 1948, 1951, 34, 386, 11.69, 96, 30.01, 1915, 0, 0, 0]
['HHH Johnson', 'Right arm fast', 3, 38, '', 4, 789, 238, 13, 1948, 1950, 28, 316, 17.55, 68, 23.36, 1910, 0, 0, 0]
['ESM Kentish', 'Right arm fast medium', 2, 1, '', 1, 540, 178, 8, 1948, 1954, 27, 109, 13.62, 78, 26.71, 1916, 0, 0, 0]
['KR Rickards', 'Legbreak', 2, 104, '', 3, '-', '-', '-', 1948, 1951, 37, 2065, 38.96, 1, 128.0, 1923, 0, 0, 1]
['DS Atkinson', 'Right arm medium, Right arm offbreak', 22, 922, '', 29, 5201, 1647, 47, 1948, 1958, 78, 2812, 28.4, 200, 26.45, 1926, 7, 0, 1]
['FJ Cameron', 'Right arm offbreak', 5, 151, '', 6, 786, 278, 3, 1948, 1949, 21, 551, 25.04, 29, 48.65, 1923, 0, 0, 0]
['AF Rae', '', 15, 1016, '', 22, '-', '-', '-', 1948, 1953, 80, 4798, 39.65, 0, '-', 1922, 0, 0, 24]
['S Ramadhin', 'Right arm offbreak', 43, 361, '', 44, 13939, 4579, 158, 1950, 1960, 184, 1092, 8.66, 758, 20.24, 1929, 0, 0, 0]
['AL Valentine', 'Slow left arm orthodox', 36, 141, '', 30, 12953, 4215, 139, 1950, 1962, 125, 470, 5.0, 475, 26.21, 1930, 0, 0, 0]
['RE Marshall', 'Right arm offbreak', 4, 143, '', 7, 52, 15, 0, 1951, 1952, 602, 35725, 35.94, 176, 28.93, 1930, 0, 0, 4]
['SC Guillen', '', 8, 202, '', 10, '-', '-', '-', 1951, 1956, 66, 2672, 26.98, 1, 49.0, 1924, 0, 8, 1]
['AP Binns', '', 5, 64, '', 7, '-', '-', '-', 1953, 1956, 25, 1446, 37.07, 0, '-', 1929, 0, 5, 2]
['FM King', 'Right arm fast', 14, 116, '', 14, 2869, 1159, 29, 1953, 1956, 31, 237, 9.11, 90, 28.75, 1926, 0, 0, 0]
['BH Pairaudeau', 'Legbreak googly', 13, 454, '', 21, 6, 3, 0, 1953, 1957, 89, 4930, 32.01, 0, '-', 1931, 0, 0, 16]
['RA Legall', '', 4, 50, '', 5, '-', '-', '-', 1953, 1953, 16, 485, 22.04, 0, '-', 1925, 0, 4, 0]
['RC Miller', 'Right arm fast medium', 1, 23, '', 1, 96, 28, 0, 1953, 1953, 8, 231, 25.66, 14, 45.35, 1924, 0, 0, 0]
['GL Wight', '', 1, 21, '', 1, '-', '-', '-', 1953, 1953, 12, 1260, 66.31, 0, '-', 1929, 0, 0, 0]
['AHP Scott', 'Legbreak', 1, 5, '', 1, 264, 140, 0, 1953, 1953, 5, 38, 12.66, 18, 33.0, 1934, 0, 0, 0]
['MC Frederick', 'Right arm medium', 1, 30, '', 2, '-', '-', '-', 1954, 1954, 6, 294, 29.4, 0, '-', 1927, 0, 0, 2]
['JKC Holt', 'Right arm offbreak', 17, 1066, '', 29, 30, 20, 1, 1954, 1959, 71, 4258, 41.33, 5, 35.4, 1923, 0, 0, 28]
['CA McWatt', 'Right arm bowler', 6, 202, '', 7, 24, 16, 1, 1954, 1955, 41, 1673, 28.84, 2, 52.5, 1922, 0, 6, 0]
['GS Sobers', 'Left arm fast medium, Slow left arm orthodox, Left arm wrist spin', 93, 8032, '', 139, 21599, 7999, 235, 1954, 1974, 383, 28314, 54.87, 1043, 27.74, 1936, 39, 0, 8]
['GL Gibbs', 'Slow left arm orthodox', 1, 12, '', 2, 24, 7, 0, 1955, 1955, 28, 1730, 36.8, 23, 53.47, 1925, 0, 0, 2]
['OG Smith', 'Right arm offbreak', 26, 1331, '', 42, 4431, 1625, 48, 1955, 1959, 70, 4031, 40.31, 121, 31.02, 1933, 0, 0, 1]
['LS Butler', 'Right arm fast medium', 1, 16, '', 1, 240, 151, 2, 1955, 1955, 11, 161, 14.63, 29, 33.34, 1929, 0, 0, 0]
['CC Depeiaza', 'Right arm bowler', 5, 187, '', 6, 30, 15, 0, 1955, 1956, 16, 623, 32.78, 0, '-', 1928, 0, 4, 0]
['NE Marshall', 'Right arm offbreak', 1, 8, '', 2, 279, 62, 2, 1955, 1955, 33, 1337, 30.38, 90, 31.72, 1924, 0, 0, 0]
['DT Dewdney', 'Right arm fast', 9, 17, '', 7, 1641, 807, 21, 1955, 1958, 40, 171, 5.7, 92, 30.73, 1933, 0, 0, 0]
['HA Furlonge', '', 3, 99, '', 5, '-', '-', '-', 1955, 1956, 16, 808, 32.32, 0, '-', 1934, 0, 0, 5]
['AT Roberts', '', 1, 28, '', 2, '-', '-', '-', 1956, 1956, 7, 153, 13.9, 0, '-', 1937, 0, 0, 0]
['R Gilchrist', 'Right arm fast', 13, 60, '', 11, 3227, 1521, 57, 1957, 1959, 42, 258, 7.81, 167, 26.0, 1934, 0, 0, 0]
['RB Kanhai', 'Right arm medium', 79, 6227, '', 131, 183, 85, 0, 1957, 1974, 421, 29250, 49.4, 19, 54.68, 1935, 13, 3, 13]
['NS Asgarali', 'Right arm medium', 2, 62, '', 4, '-', '-', '-', 1957, 1957, 50, 2761, 32.86, 23, 42.26, 1920, 0, 0, 3]
['FCM Alexander', '', 25, 961, '', 32, '-', '-', '-', 1957, 1961, 92, 3239, 29.18, 0, '-', 1928, 18, 25, 2]
['ES Atkinson', 'Right arm medium fast', 8, 126, '', 8, 1634, 589, 25, 1958, 1959, 29, 696, 21.75, 61, 26.72, 1927, 0, 0, 0]
['CC Hunte', 'Right arm medium', 44, 3245, '', 72, 270, 110, 2, 1958, 1967, 132, 8916, 43.92, 17, 37.88, 1932, 0, 0, 78]
['LR Gibbs', 'Right arm offbreak', 79, 488, '', 70, 27115, 8989, 309, 1958, 1976, 330, 1729, 8.55, 1024, 27.22, 1934, 0, 0, 0]
['EDAS McMorris', 'Right arm offbreak', 13, 564, '', 21, '-', '-', '-', 1958, 1966, 95, 5906, 42.18, 0, '-', 1935, 0, 0, 21]
['IS Madray', 'Legbreak', 2, 3, '', 3, 210, 108, 0, 1958, 1958, 6, 73, 9.12, 16, 38.87, 1934, 0, 0, 0]
['JO Taylor', 'Right arm fast medium', 3, 4, '', 2, 672, 273, 10, 1958, 1959, 18, 62, 5.63, 50, 26.22, 1932, 0, 0, 0]
['BF Butcher', 'Legbreak', 44, 3104, '', 72, 256, 90, 5, 1958, 1969, 169, 11628, 49.9, 40, 30.42, 1933, 0, 0, 0]
['WW Hall', 'Right arm fast', 48, 818, '', 52, 10421, 5066, 192, 1958, 1969, 170, 2674, 15.1, 546, 26.14, 1937, 0, 0, 0]
['JS Solomon', 'Legbreak', 27, 1326, '', 39, 702, 268, 4, 1958, 1965, 104, 5318, 41.54, 51, 38.23, 1930, 0, 0, 4]
['MR Bynoe', 'Left arm medium', 4, 111, '', 6, 30, 5, 1, 1959, 1967, 56, 3572, 41.05, 9, 27.33, 1941, 0, 0, 6]
['RO Scarlett', 'Right arm offbreak', 3, 54, '', 3, 804, 209, 2, 1960, 1960, 17, 477, 23.85, 48, 34.12, 1934, 0, 0, 0]
['CD Watson', 'Right arm fast', 7, 12, '', 5, 1458, 724, 19, 1960, 1962, 32, 198, 7.61, 85, 32.07, 1938, 0, 0, 0]
['CK Singh', 'Slow left arm orthodox', 2, 11, '', 3, 506, 166, 5, 1960, 1960, 11, 102, 8.5, 48, 23.93, 1935, 0, 0, 0]
['SM Nurse', 'Right arm offbreak', 29, 2523, '', 53, 42, 7, 0, 1960, 1969, 141, 9489, 43.93, 12, 32.41, 1933, 0, 0, 10]
['CC Griffith', 'Right arm fast', 28, 530, '', 32, 5631, 2683, 94, 1960, 1969, 96, 1502, 17.26, 332, 21.6, 1938, 0, 0, 0]
['PD Lashley', 'Right arm medium', 4, 159, '', 7, 18, 1, 1, 1960, 1966, 85, 4932, 41.44, 27, 35.48, 1937, 0, 0, 3]
