['T Taibu', 27.96, 37.28, 'WK', 2001, 2012, 0.4142550911039657, 1.0748407643312101, 10]
['H Masakadza', 27.31, 35.17, 'PartMed', 2001, 2017, 0.4445392491467577, 0.7944356540084387, 1]
['DT Hondo', 7.72, 44.42, 'Fast', 2001, 2005, 0.2455621301775148, 1.0382618727167854, 0]
['NB Mahwire', 10.3, 49.7, 'Fast', 2002, 2005, 0.42485549132947975, 1.3940308057955118, 0]
['MA Vermeulen', 21.43, 127.76, 'Bat', 2002, 2014, 0.4776595744680851, 1.5873015873015872, 0]
['SM Ervine', 22.19, 68.17, 'Spin', 2003, 2004, 0.554140127388535, 1.3347093223254214, 0]
['GM Ewing', 20.83, 78.65, 'PartSpin', 2003, 2005, 0.6206896551724138, 1.1967228205836327, 0]
['S Matsikenyeri', 18.9, 96.63, 'OpenPartSpin', 2003, 2005, 0.5057636887608069, 1.4005602240896358, 0]
['V Sibanda', 19.0, 367.2, 'OpenBat', 2003, 2014, 0.5021240441801189, 1.4, 0]
['E Chigumbura', 18.73, 45.75, 'Fast', 2004, 2014, 0.502206531332745, 1.0156020017662641, 0]
['A Maregwede', 12.54, 377.6, 'Bat', 2004, 2004, 0.5441176470588235, 1.4, 0]
['T Panyangara', 11.0, 39.93, 'Fast', 2004, 2014, 0.522077922077922, 0.8171894579544464, 0]
['BRM Taylor', 30.02, 184.56, 'Bat', 2004, 2017, 0.5039519443566235, 1.717902350813743, 13]
['P Utseya', 11.84, 47.38, 'Spin', 2004, 2013, 0.4672489082969432, 1.0371213558464554, 0]
['T Mupariwa', 8.73, 46.51, 'PartFast', 2004, 2004, 0.3333333333333333, 1.30718954248366, 0]
['AG Cremer', 14.91, 38.04, 'Spin', 2005, 2017, 0.3258901629450815, 1.1770289511153298, 8]
['CB Mpofu', 4.1, 39.58, 'Fast', 2005, 2017, 0.42168674698795183, 1.0652585662629857, 0]
['BG Rogers', 15.94, 131.79, 'OpenBat', 2005, 2005, 0.3879310344827586, 1.8279569892473115, 0]
['NR Ferreira', 18.08, 372.44, 'OpenBat', 2005, 2005, 0.21212121212121213, 1.4, 0]
['KM Dabengwa', 15.14, 63.92, 'Spin', 2005, 2005, 0.6428571428571429, 1.100309323906319, 0]
['CK Coventry', 15.27, 372.44, 'Bat', 2005, 2005, 0.946236559139785, 1.4, 0]
['T Duffin', 16.12, 372.44, 'OpenBat', 2005, 2005, 0.44692737430167595, 1.4, 0]
['W Mwayenga', 12.24, 60.8, 'PartMed', 2005, 2005, 0.8823529411764706, 1.2135176651305681, 0]
['CR Ervine', 29.27, 370.71, 'Bat', 2011, 2017, 0.48883116883116884, 1.4, 0]
['KM Jarvis', 6.14, 32.65, 'Fast', 2011, 2017, 0.346875, 1.1219843525949034, 0]
['TMK Mawoyo', 22.21, 370.71, 'OpenBat', 2011, 2016, 0.3704819277108434, 1.4, 0]
['BV Vitori', 6.87, 45.33, 'Fast', 2011, 2013, 0.6190476190476191, 1.0643747945037887, 0]
['GA Lamb', 17.82, 53.73, 'Spin', 2011, 2011, 0.38333333333333336, 1.3988095238095237, 0]
['RW Chakabva', 23.41, 370.71, 'WK', 2011, 2017, 0.40182054616384916, 1.4, 0]
['N Ncube', 4.72, 53.85, 'PartFast', 2011, 2011, 0.7391304347826086, 1.0975056689342402, 0]
['MN Waller', 19.78, 45.04, 'PartSpin', 2011, 2017, 0.5079225352112676, 0.9164284513199934, 0]
['SW Masakadza', 10.58, 36.75, 'Fast', 2012, 2014, 0.36666666666666664, 0.9339833938357096, 0]
['F Mutizwa', 20.34, 370.14, 'Bat', 2012, 2012, 0.39344262295081966, 1.4, 0]
['TL Chatara', 5.19, 34.68, 'Fast', 2013, 2014, 0.45555555555555555, 0.7749866971656684, 0]
