['Elias Sunny', 11.54, 42.44, 'Spin', 2011, 2013, 0.5314685314685315, 1.1469396491279864, 0]
['Nasir Hossain', 30.68, 42.59, 'PartSpin', 2011, 2017, 1.0892018779342723, 0.9169743994025146, 0]
['Sohrawordi Shuvo', 18.4, 41.24, 'Spin', 2011, 2011, 1, 0.9363476030142696, 0]
['Nazimuddin', 20.33, 100, 'OpenBat', 2011, 2012, 0.78125, 1.2, 0]
['Sohag Gazi', 18.36, 48.46, 'Spin', 2012, 2014, 1.2287334593572778, 0.9727628431767187, 0]
['Abul Hasan', 17.57, 74.71, 'Fast', 2012, 2013, 1.1870503597122302, 1.2, 0]
['Anamul Haque', 22.09, 100, 'OpenBat', 2013, 2014, 0.6636363636363637, 1.2, 0]
['Mominul Haque', 38.71, 91.21, 'Bat', 2013, 2020, 1.1206896551724137, 1.2, 4]
['Ziaur Rahman', 15.24, 39.55, 'Fast', 2013, 2013, 1, 0.8, 0]
['Marshall Ayub', 21.07, 56.26, 'Bat', 2013, 2014, 0.8591065292096219, 1.2, 0]
['Al-Amin Hossain', 4.95, 37.73, 'Fast', 2013, 2019, 1.4173228346456692, 1.0382270764541528, 0]
['Shamsur Rahman', 22.18, 54.9, 'OpenBat', 2014, 2014, 0.953125, 1.2, 0]
['Shuvagata Hom', 24.6, 40.2, 'PartSpin', 2014, 2016, 1.1167048054919908, 1.1502091289325331, 0]
['Taijul Islam', 9.48, 33.27, 'Spin', 2014, 2020, 0.797676669893514, 1.0352529827622077, 0]
['Jubair Hossain', 7.47, 45.69, 'Spin', 2014, 2015, 0.5, 1.2, 0]
['Mohammad Shahid', 8.79, 54.66, 'Fast', 2015, 2015, 1.4074074074074074, 0.8791208791208791, 0]
['Soumya Sarkar', 25.4, 55.0, 'OpenPartFast', 2015, 2019, 1.1652421652421652, 1.2, 0]
['Liton Das', 24.79, 100, 'WK', 2015, 2020, 1.1553463349024882, 1.2, 0]
['Mustafizur Rahman', 3.29, 33.8, 'Fast', 2015, 2019, 0.8115942028985508, 1.029984576373095, 0]
['Kamrul Islam Rabbi', 3.48, 49.59, 'Fast', 2016, 2018, 0.5, 1.2, 0]
['Mehidy Hasan Miraz', 16.79, 34.0, 'Spin', 2016, 2019, 1.0357142857142858, 1.2, 0]
['Sabbir Rahman', 20.28, 55.89, 'Bat', 2016, 2018, 1.0994285714285714, 1.2, 0]
['Subashis Roy', 3.13, 38.86, 'Fast', 2017, 2017, 1, 1.197738463717969, 0]
['Taskin Ahmed', 3.86, 45.36, 'Fast', 2017, 2017, 0.8192771084337349, 1.2, 0]
['Najmul Hossain Shanto', 31.35, 100, 'Bat', 2017, 2020, 0.8220858895705522, 1.2, 0]
['Nurul Hasan', 25.72, 100, 'WK', 2017, 2018, 1.2365591397849462, 1.2, 0]
['Mosaddek Hossain', 38.0, 60.22, 'PartSpin', 2017, 2019, 0.9371428571428572, 1.2, 0]
['Sunzamul Islam', 13.15, 40.76, 'Spin', 2018, 2018, 1, 1.2, 0]
['Abu Jayed', 2.76, 36.28, 'Fast', 2018, 2020, 0.5192307692307693, 1.2, 0]
['Ariful Haque', 23.15, 41.69, 'PartFast', 2018, 2018, 1.1069182389937107, 0.8021390374331551, 0]
['Nazmul Islam', 2.79, 39.84, 'Spin', 2018, 2018, 1, 0.9634888438133874, 0]
['Mohammad Mithun', 20.72, 100, 'Bat', 2018, 2020, 0.9418960244648318, 1.2, 0]
['Khaled Ahmed', 2.87, 50.09, 'Med', 2018, 2019, 1, 1.2, 0]
['Nayeem Hasan', 7.62, 34.44, 'Spin', 2018, 2020, 0.7865168539325843, 1.1041725801873403, 0]
['Shadman Islam', 30.35, 100, 'OpenBat', 2018, 2019, 0.8842443729903537, 1.2, 0]
['Ebadat Hossain', 2.46, 45.12, 'Fast', 2019, 2020, 1, 1.2, 0]
['Saif Hassan', 28.51, 100, 'OpenBat', 2020, 2020, 1, 1.2, 0]
