['DG Phadkar', 'Right arm fast medium, Right arm offbreak', 31, 1229, '', 38, 5994, 2285, 62, 1947, 1958, 133, 5377, 36.08, 466, 22.04, 1925, 0, 0, 0]
['K Rai Singh', '', 1, 26, 32, 2, '-', '-', '-', 1948, 1948, 38, 1778, 30.13, 21, 33.33, 1922, 0, 0, 0]
['PK Sen', '', 14, 165, '', 14, '-', '-', '-', 1948, 1952, 82, 2580, 23.24, 7, 15.14, 1926, 0, 14, 0]
['CR Rangachari', 'Right arm fast', 4, 8, '', 3, 846, 493, 9, 1948, 1948, 62, 480, 7.74, 199, 26.11, 1916, 0, 0, 0]
['KC Ibrahim', '', 4, 169, '', 8, '-', '-', '-', 1948, 1949, 60, 4716, 61.24, 4, 46.75, 1919, 0, 0, 8]
['KK Tarapore', 'Slow left arm orthodox', 1, 2, '', 1, 114, 72, 0, 1948, 1948, 40, 441, 11.3, 148, 28.77, 1910, 0, 0, 0]
['PR Umrigar', 'Right arm offbreak', 59, 3631, '', 86, 4725, 1473, 35, 1948, 1962, 243, 16155, 52.28, 325, 25.68, 1926, 8, 0, 0]
['SA Banerjee', 'Right arm medium', 1, 0, '', 1, 306, 181, 5, 1948, 1948, 26, 232, 7.03, 92, 23.28, 1919, 0, 0, 0]
['Ghulam Ahmed', 'Right arm offbreak', 22, 192, '', 22, 5650, 2052, 68, 1948, 1958, 98, 1379, 14.36, 407, 22.57, 1922, 3, 0, 0]
['NR Chowdhury', 'Right arm medium', 2, 3, '', 1, 516, 205, 1, 1949, 1951, 58, 419, 7.22, 200, 25.14, 1923, 0, 0, 0]
['MR Rege', 'Right arm offbreak', 1, 15, '', 2, '-', '-', '-', 1949, 1949, 39, 2348, 37.26, 33, 42.96, 1924, 0, 0, 2]
['SN Banerjee', 'Right arm fast medium', 1, 13, '', 2, 273, 127, 5, 1949, 1949, 138, 3715, 20.63, 385, 26.68, 1911, 0, 0, 0]
['PG Joshi', '', 12, 207, '', 19, '-', '-', '-', 1951, 1960, 78, 1724, 17.06, 0, '-', 1926, 0, 12, 1]
['P Roy', 'Right arm medium', 43, 2442, '', 75, 104, 66, 1, 1951, 1960, 185, 11868, 42.38, 21, 30.85, 1928, 1, 0, 74]
['CD Gopinath', 'Right arm medium', 8, 242, '', 11, 48, 11, 1, 1951, 1960, 83, 4259, 42.16, 14, 27.78, 1930, 0, 0, 0]
['MK Mantri', 'Right arm medium', 4, 67, '', 7, '-', '-', '-', 1951, 1955, 95, 4403, 33.86, 3, 40.33, 1921, 0, 3, 2]
['RV Divecha', 'Right arm medium, Right arm offbreak', 5, 60, '', 5, 1044, 361, 11, 1951, 1952, 61, 1424, 20.34, 217, 24.89, 1927, 0, 0, 0]
['SP Gupte', 'Legbreak googly', 36, 183, '', 29, 11284, 4403, 149, 1951, 1961, 115, 761, 8.18, 530, 23.71, 1929, 0, 0, 0]
['VL Manjrekar', 'Right arm offbreak', 55, 3208, '', 82, 204, 44, 1, 1951, 1965, 198, 12832, 49.92, 20, 32.85, 1931, 0, 1, 0]
['DK Gaekwad', 'Right arm medium, Legbreak', 11, 350, '', 19, 12, 12, 0, 1952, 1961, 110, 5788, 36.4, 25, 40.64, 1928, 4, 0, 6]
['GS Ramchand', 'Right arm medium fast', 33, 1180, '', 48, 4976, 1899, 41, 1952, 1960, 145, 6026, 36.3, 255, 29.48, 1927, 5, 0, 0]
['HG Gaekwad', 'Left arm medium, Slow left arm orthodox', 1, 22, '', 2, 222, 47, 0, 1952, 1952, 101, 2487, 19.42, 375, 23.62, 1923, 0, 0, 0]
['S Nyalchand', 'Left arm medium', 1, 7, '', 1, 384, 97, 3, 1952, 1952, 57, 420, 7.63, 235, 22.57, 1919, 0, 0, 0]
['ML Apte', 'Right arm bowler', 7, 542, '', 11, 6, 3, 0, 1952, 1953, 67, 3336, 38.79, 4, 24.25, 1932, 0, 0, 13]
['HT Dani', 'Right arm fast medium, Right arm offbreak, Legbreak', 1, '-', '-', 0, 60, 19, 1, 1952, 1952, 116, 6476, 44.35, 200, 21.9, 1933, 0, 0, 0]
['V Rajindernath', '', 1, '-', '-', 0, '-', '-', '-', 1952, 1952, 28, 844, 22.21, 0, '-', 1928, 0, 1, 0]
['ES Maka', '', 2, 2, '', 0, '-', '-', '-', 1952, 1953, 34, 607, 15.56, 0, '-', 1922, 0, 2, 0]
['RH Shodhan', 'Left arm medium', 3, 181, '', 3, 60, 26, 0, 1952, 1953, 43, 1802, 31.61, 73, 34.05, 1928, 0, 0, 0]
['CV Gadkari', 'Right arm medium', 6, 129, '', 6, 102, 45, 0, 1953, 1955, 64, 3024, 40.32, 48, 31.04, 1928, 0, 0, 0]
['JM Ghorpade', 'Legbreak googly', 8, 229, '', 15, 150, 131, 0, 1953, 1959, 82, 2631, 25.54, 114, 30.83, 1930, 0, 0, 0]
['PH Punjabi', '', 5, 164, '', 10, '-', '-', '-', 1955, 1955, 32, 1953, 38.29, 2, 50.0, 1921, 0, 0, 10]
['NS Tamhane', '', 21, 225, '', 22, '-', '-', '-', 1955, 1960, 93, 1459, 18.23, 2, 21.5, 1931, 0, 21, 0]
['P Bhandari', 'Right arm offbreak', 3, 77, '', 4, 78, 39, 0, 1955, 1956, 63, 2552, 32.71, 122, 28.24, 1935, 0, 0, 0]
