['AK Kuruppuarachchi', 'Left arm fast medium', 2, 0, '', 0, 272, 149, 8, 1986, 1987, 29, 70, 5.83, 60, 26.7, 1964, 0, 0, 0]
['RS Mahanama', '', 52, 2576, '', 88, 36, 30, 0, 1986, 1998, 137, 6698, 34.7, 0, '-', 1966, 0, 0, 72]
['KN Amalean', 'Right arm fast medium', 2, 9, '', 1, 244, 156, 7, 1986, 1988, 5, 13, 6.5, 13, 27.84, 1965, 0, 0, 0]
['GF Labrooy', 'Right arm fast medium', 9, 158, '', 11, 2158, 1194, 27, 1986, 1991, 49, 924, 20.53, 124, 33.56, 1964, 0, 0, 0]
['DSBP Kuruppu', '', 4, 320, 829, 6, '-', '-', '-', 1987, 1991, 48, 2671, 37.09, 0, '-', 1962, 0, 1, 7]
['CPH Ramanayake', 'Right arm fast medium', 18, 143, 550, 15, 3654, 1880, 44, 1988, 1993, 160, 3134, 18.87, 480, 23.69, 1965, 0, 0, 0]
['MAWR Madurasinghe', 'Right arm offbreak', 3, 24, '', 5, 396, 172, 3, 1988, 1992, 101, 1736, 16.37, 269, 25.55, 1961, 0, 0, 0]
['MAR Samarasekera', 'Right arm medium', 4, 118, '', 7, 192, 104, 3, 1988, 1991, 57, 2737, 33.79, 46, 39.58, 1961, 0, 0, 4]
['D Ranatunga', 'Right arm offbreak', 2, 87, 250, 3, '-', '-', '-', 1989, 1989, 73, 3559, 35.23, 12, 32.66, 1962, 0, 0, 3]
['AGD Wickremasinghe', 'Right arm offbreak', 3, 17, 29, 2, '-', '-', '-', 1989, 1992, 90, 2093, 21.14, 2, 9.5, 1965, 0, 3, 0]
['HP Tillakaratne', 'Right arm offbreak', 83, 4545, '', 106, 76, 25, 0, 1989, 2004, 252, 13253, 49.26, 41, 33.36, 1967, 11, 11, 1]
['MS Atapattu', 'Legbreak', 90, 5502, '', 141, 48, 24, 1, 1990, 2007, 228, 14591, 48.79, 19, 36.42, 1970, 18, 0, 136]
['CP Senanayake', 'Right arm medium', 3, 97, 134, 5, '-', '-', '-', 1991, 1991, 19, 747, 25.75, 0, '-', 1962, 0, 0, 5]
['UC Hathurusingha', 'Right arm medium fast', 26, 1274, 3573, 43, 1962, 789, 17, 1991, 1999, 207, 10861, 36.44, 425, 22.07, 1968, 0, 0, 42]
['ST Jayasuriya', 'Slow left arm orthodox', 110, 6973, 10698, 174, 8188, 3366, 98, 1991, 2007, 265, 14819, 38.39, 205, 33.2, 1969, 38, 0, 152]
['KIW Wijegunawardene', 'Right arm fast medium', 2, 14, 53, 3, 364, 147, 7, 1991, 1992, 51, 374, 11.68, 158, 24.18, 1964, 0, 0, 0]
['GP Wickramasinghe', 'Right arm fast medium', 40, 555, 1105, 59, 7260, 3559, 85, 1991, 2001, 123, 1440, 11.52, 345, 27.57, 1971, 0, 0, 0]
['RS Kaluwitharana', '', 49, 1933, 3203, 74, '-', '-', '-', 1992, 2004, 145, 8050, 39.46, 0, '-', 1969, 0, 48, 0]
['DK Liyanage', 'Right arm fast medium', 9, 69, 340, 9, 1355, 666, 17, 1992, 2001, 123, 2919, 22.28, 288, 23.16, 1972, 0, 0, 0]
['M Muralitharan', 'Right arm offbreak', 133, 1261, 1794, 108, 44039, 18180, 800, 1992, 2010, 232, 2192, 11.35, 1374, 19.64, 1972, 0, 0, 0]
['AM de Silva', '', 3, 10, 46, 3, '-', '-', '-', 1993, 1993, 61, 2336, 29.94, 0, '-', 1963, 0, 3, 0]
['RS Kalpage', 'Right arm offbreak', 11, 294, 708, 16, 1576, 774, 12, 1993, 1999, 153, 5843, 34.16, 427, 22.71, 1970, 0, 0, 0]
['PB Dassanayake', '', 11, 196, 560, 15, '-', '-', '-', 1993, 1994, 108, 3840, 26.3, 0, '-', 1970, 0, 11, 0]
['PK Wijetunge', 'Slow left arm orthodox', 1, 10, 15, 2, 312, 118, 2, 1993, 1993, 65, 541, 11.27, 161, 30.47, 1971, 0, 0, 0]
['HDPK Dharmasena', 'Right arm offbreak', 31, 868, 2665, 44, 6939, 2920, 69, 1993, 2004, 155, 6568, 36.28, 495, 20.77, 1971, 0, 0, 0]
['DP Samaraweera', 'Right arm offbreak', 7, 211, 805, 14, '-', '-', '-', 1993, 1995, 136, 7210, 39.18, 41, 20.31, 1972, 0, 0, 14]
['KR Pushpakumara', 'Right arm fast medium', 23, 166, 483, 19, 3792, 2242, 58, 1994, 2001, 130, 1392, 12.88, 350, 28.38, 1975, 0, 0, 0]
['S Ranatunga', 'Right arm offbreak', 9, 531, 1626, 16, '-', '-', '-', 1994, 1997, 140, 6586, 35.79, 55, 20.34, 1969, 0, 0, 0]
['WPUJC Vaas', 'Left arm fast medium', 111, 3089, 7033, 127, 23438, 10501, 355, 1994, 2009, 227, 6223, 25.82, 772, 24.64, 1974, 0, 0, 0]
['CI Dunusinghe', '', 5, 160, 452, 10, '-', '-', '-', 1995, 1995, 54, 1444, 20.33, 0, '-', 1970, 0, 5, 0]
['KJ Silva', 'Slow left arm orthodox', 7, 6, 28, 3, 1533, 647, 20, 1995, 1998, 65, 177, 4.65, 232, 22.4, 1973, 0, 0, 0]
['DNT Zoysa', 'Left arm fast medium', 30, 288, 695, 34, 4422, 2157, 64, 1997, 2004, 118, 2065, 17.64, 301, 23.77, 1978, 0, 0, 0]
['KSC de Silva', 'Left arm fast medium', 8, 65, 178, 7, 1585, 889, 16, 1997, 1999, 111, 1099, 11.94, 346, 22.93, 1971, 0, 0, 0]
['RP Arnold', 'Right arm offbreak', 44, 1821, 4084, 65, 1334, 598, 11, 1997, 2004, 168, 9444, 40.7, 158, 29.63, 1973, 0, 0, 15]
