['NS Tamhane', 10.99, 100, 'WK', 1955, 1960, 1, 1.2, 0]
['P Bhandari', 20.46, 52.32, 'PartSpin', 1955, 1956, 1, 1.2, 0]
['JM Patel', 6.58, 37.4, 'Spin', 1955, 1960, 1, 0.98, 0]
['AG Kripal Singh', 26.44, 50.78, 'PartSpin', 1955, 1964, 1, 1.01, 0]
['VN Swamy', 9.48, 52.55, 'Fast', 1955, 1955, 1, 1.13, 0]
['NJ Contractor', 33.1, 73.35, 'OpenBat', 1955, 1962, 1, 1.14, 12]
['VL Mehra', 22.87, 52.11, 'OpenBat', 1955, 1964, 1, 0.8, 0]
['SR Patil', 16.86, 50.31, 'Fast', 1955, 1955, 1, 1.0, 0]
['RG Nadkarni', 25.37, 29.24, 'Spin', 1955, 1968, 1, 0.8, 0]
['GR Sunderam', 9.22, 49.62, 'Fast', 1955, 1955, 1, 1.14, 0]
['CT Patankar', 14.83, 100, 'WK', 1955, 1955, 1, 1.2, 0]
['CG Borde', 35.21, 45.2, 'PartSpin', 1958, 1969, 1, 1.07, 1]
['GM Guard', 6.99, 42.06, 'Fast', 1958, 1960, 1, 1.2, 0]
['MS Hardikar', 20.26, 59.52, 'PartSpin', 1958, 1958, 1, 1.2, 0]
['VB Ranjane', 8.42, 45.99, 'Fast', 1958, 1964, 1, 1.2, 0]
['RB Kenny', 29.59, 100, 'Bat', 1958, 1960, 1, 1.2, 0]
['Surendra Nath', 9.92, 42.28, 'Med', 1958, 1961, 1, 1.06, 0]
['AK Sengupta', 15.14, 100, 'OpenBat', 1959, 1959, 1, 1.2, 0]
['RB Desai', 13.11, 37.09, 'Fast', 1959, 1968, 1, 1.2, 0]
['ML Jaisimha', 29.86, 55.18, 'OpenPartSpin', 1959, 1971, 1, 1.0, 0]
['AL Apte', 19.46, 100, 'OpenBat', 1959, 1959, 1, 1.2, 0]
['AA Baig', 23.16, 100, 'Bat', 1959, 1966, 1, 1.2, 0]
['VM Muddiah', 8.08, 41.37, 'Spin', 1959, 1960, 1, 1.1, 0]
['SA Durani', 24.19, 36.01, 'Spin', 1960, 1973, 1, 1.04, 0]
['BK Kunderan', 30.25, 100, 'OpenWK', 1960, 1967, 1, 1.2, 0]
['AG Milkha Singh', 20.46, 100, 'Bat', 1960, 1961, 1, 0.87, 0]
['MM Sood', 15.56, 100, 'Bat', 1960, 1960, 1, 1.2, 0]
['RF Surti', 28.39, 55.15, 'Med', 1960, 1969, 1, 1.2, 0]
['BP Gupte', 6.05, 43.94, 'Spin', 1961, 1965, 1, 1.2, 0]
['VV Kumar', 4.64, 34.31, 'Spin', 1961, 1961, 1, 0.86, 0]
['FM Engineer', 29.89, 100, 'OpenWK', 1961, 1975, 1, 1.2, 0]
['DN Sardesai', 37.9, 100, 'Bat', 1961, 1972, 1, 1.2, 0]
['MAK Pataudi', 33.57, 90.96, 'Bat', 1961, 1975, 1, 1.2, 40]
['EAS Prasanna', 11.08, 29.32, 'Spin', 1962, 1978, 1, 0.98, 0]
['BS Chandrasekhar', 4.0, 29.22, 'Spin', 1964, 1979, 1, 1.09, 0]
['Rajinder Pal', 6.57, 37.14, 'PartFast', 1964, 1964, 1, 0.8, 0]
['Hanumant Singh', 29.33, 58.8, 'Bat', 1964, 1969, 1, 1.2, 0]
['KS Indrajitsinhji', 14.23, 100, 'OpenWK', 1964, 1969, 1, 1.2, 0]
['S Venkataraghavan', 11.55, 35.7, 'Spin', 1965, 1983, 1, 0.91, 5]
['V Subramanya', 18.28, 65.78, 'PartMed', 1965, 1968, 1, 1.14, 0]
['AL Wadekar', 29.98, 61.32, 'Bat', 1966, 1974, 1, 1.2, 16]
['BS Bedi', 8.83, 28.2, 'Spin', 1966, 1979, 1, 0.86, 22]
['S Guha', 6.71, 40.76, 'Fast', 1967, 1969, 1, 1.16, 0]
['RC Saxena', 23.87, 48.28, 'OpenBat', 1967, 1967, 0.58, 1.2, 0]
['S Abid Ali', 19.65, 42.68, 'Fast', 1967, 1974, 1, 1.17, 0]
['UN Kulkarni', 8.61, 56.9, 'Fast', 1967, 1968, 1, 1.2, 0]
['CPS Chauhan', 31.21, 56.91, 'OpenBat', 1969, 1981, 1, 1.2, 0]
['AV Mankad', 25.12, 60.17, 'OpenBat', 1969, 1978, 1, 1.2, 0]
['AM Pai', 5.92, 38.25, 'Fast', 1969, 1969, 1, 0.8, 0]
['AK Roy', 23.01, 100, 'Bat', 1969, 1969, 1, 1.2, 0]
['A Gandotra', 15.66, 46.93, 'Bat', 1969, 1969, 1, 1.2, 0]
['ED Solkar', 25.11, 51.38, 'PartSpin', 1969, 1977, 1, 1.14, 0]
['GR Viswanath', 41.96, 63.73, 'Bat', 1969, 1983, 1, 1.2, 2]
['M Amarnath', 42.29, 54.73, 'PartMed', 1969, 1988, 1, 1.11, 0]
['HK Jayantilal', 20.59, 100, 'OpenBat', 1971, 1971, 1, 1.2, 0]
['P Krishnamurthy', 8.2, 100, 'WK', 1971, 1971, 1, 1.2, 0]
['SM Gavaskar', 51.28, 100, 'OpenBat', 1971, 1987, 1, 1.2, 47]
['RD Parkar', 19.76, 100, 'OpenBat', 1972, 1972, 0.69, 1.2, 0]
['S Madan Lal', 22.56, 39.07, 'Med', 1974, 1986, 1, 1.07, 0]
['BP Patel', 29.51, 100, 'Bat', 1974, 1977, 1, 1.2, 0]
['SS Naik', 21.22, 100, 'OpenBat', 1974, 1974, 1, 1.2, 0]
['HS Kanitkar', 25.51, 100, 'Bat', 1974, 1974, 1, 1.2, 0]
['PH Sharma', 22.98, 41.8, 'Bat', 1974, 1977, 1, 0.8, 0]
['AD Gaekwad', 30.17, 56.88, 'OpenBat', 1974, 1984, 1, 1.2, 0]
['KD Ghavri', 21.13, 36.95, 'Med', 1974, 1981, 1, 1.19, 0]
['S Amarnath', 28.02, 100, 'Bat', 1976, 1978, 1, 1.06, 0]
['SMH Kirmani', 27.11, 100, 'WK', 1976, 1986, 1, 1.2, 0]
['DB Vengsarkar', 41.59, 100, 'Bat', 1976, 1992, 1, 1.2, 10]
['Yajurvindra Singh', 23.78, 54.5, 'PartMed', 1977, 1979, 0.61, 0.95, 0]
