['Enamul Haque jnr', 'Slow left arm orthodox', 15, 59, 271, 10, 3555, 1787, 44, 2003, 2013, 133, 2125, 14.45, 488, 30.43, 1986, 0, 0, 0]
['Manjural Islam Rana', 'Slow left arm orthodox', 6, 257, 692, 10, 749, 401, 5, 2004, 2004, 46, 2466, 36.26, 127, 25.97, 1984, 0, 0, 0]
['Faisal Hossain', 'Slow left arm orthodox', 1, 7, 27, 2, '-', '-', '-', 2004, 2010, 114, 6657, 38.25, 84, 42.45, 1978, 0, 0, 0]
['Tareq Aziz', 'Right arm medium fast', 3, 22, 147, 2, 360, 261, 1, 2004, 2004, 69, 819, 14.12, 226, 26.9, 1983, 0, 0, 0]
['Nafees Iqbal', 'Right arm medium', 11, 518, 1332, 22, '-', '-', '-', 2004, 2006, 120, 6202, 29.96, 12, 31.33, 1985, 0, 0, 20]
['Aftab Ahmed', 'Right arm medium', 16, 582, 1173, 28, 344, 237, 5, 2004, 2010, 61, 2502, 24.52, 38, 30.5, 1985, 0, 0, 0]
['Nazmul Hossain', 'Right arm medium fast', 2, 16, 21, 2, 329, 194, 5, 2004, 2011, 52, 610, 10.51, 96, 30.72, 1987, 0, 0, 0]
['Mushfiqur Rahim', '', 74, 4685, 9773, 126, '-', '-', '-', 2005, 2021, 119, 7068, 37.39, 1, 51.0, 1987, 34, 55, 0]
['Shahadat Hossain', 'Right arm medium fast', 38, 521, 1134, 52, 5380, 3731, 72, 2005, 2015, 112, 1271, 10.68, 258, 36.58, 1986, 0, 0, 0]
['Shahriar Nafees', '', 24, 1267, 2268, 48, '-', '-', '-', 2005, 2013, 124, 8141, 38.4, 0, '-', 1985, 0, 0, 20]
['Syed Rasel', 'Left arm medium fast', 6, 37, 95, 8, 879, 573, 12, 2005, 2007, 66, 1126, 14.81, 185, 27.31, 1984, 0, 0, 0]
['Abdur Razzak', 'Slow left arm orthodox', 13, 248, 382, 16, 3015, 1673, 28, 2006, 2018, 137, 2817, 16.96, 634, 28.52, 1982, 0, 0, 0]
['Shakib Al Hasan', 'Slow left arm orthodox', 57, 3930, 6374, 99, 13056, 6553, 210, 2007, 2021, 93, 5845, 37.46, 310, 30.09, 1987, 14, 0, 0]
['Mehrab Hossain jnr', 'Slow left arm orthodox', 7, 243, 476, 12, 407, 281, 4, 2007, 2009, 122, 6613, 34.62, 53, 52.49, 1987, 0, 0, 0]
['Junaid Siddique', 'Right arm offbreak', 19, 969, 2341, 37, 18, 11, 0, 2008, 2012, 137, 7985, 35.02, 1, 179.0, 1987, 0, 0, 13]
['Sajedul Islam', 'Left arm medium', 3, 18, 47, 6, 330, 232, 3, 2008, 2013, 99, 1723, 17.94, 241, 28.35, 1988, 0, 0, 0]
['Tamim Iqbal', '', 64, 4788, 8290, 121, 30, 20, 0, 2008, 2021, 96, 7508, 44.42, 0, '-', 1989, 1, 0, 122]
['Naeem Islam', 'Right arm offbreak', 8, 416, 1110, 13, 574, 303, 1, 2008, 2012, 146, 8962, 42.27, 52, 48.5, 1986, 0, 0, 0]
['Mahbubul Alam', 'Right arm medium fast', 4, 5, 72, 4, 587, 314, 5, 2008, 2008, 53, 297, 6.9, 141, 27.16, 1983, 0, 0, 0]
['Imrul Kayes', 'Slow left arm orthodox', 39, 1797, 3742, 74, 24, 12, 0, 2008, 2019, 117, 7019, 34.4, 3, 77.66, 1987, 0, 0, 66]
['Raqibul Hasan', 'Legbreak', 9, 336, 835, 17, 42, 17, 1, 2008, 2011, 116, 6672, 37.48, 6, 50.0, 1987, 0, 0, 0]
['Mahmudullah', 'Right arm offbreak', 49, 2764, 5178, 87, 3399, 1949, 43, 2009, 2020, 113, 6407, 34.82, 143, 35.08, 1986, 6, 0, 0]
['Rubel Hossain', 'Right arm fast', 27, 265, 603, 28, 4223, 2764, 36, 2009, 2020, 60, 555, 9.25, 97, 54.03, 1990, 0, 0, 0]
['Shafiul Islam', 'Right arm fast medium', 11, 211, 439, 20, 1734, 942, 17, 2010, 2017, 62, 865, 12.91, 164, 29.51, 1989, 0, 0, 0]
['Jahurul Islam', 'Right arm offbreak', 7, 347, 902, 13, '-', '-', '-', 2010, 2013, 139, 7764, 35.61, 1, 19.0, 1986, 0, 0, 8]
['Robiul Islam', 'Right arm fast medium', 9, 99, 203, 11, 1860, 992, 25, 2010, 2014, 77, 617, 8.94, 224, 30.78, 1986, 0, 0, 0]
['Elias Sunny', 'Slow left arm orthodox', 4, 38, 143, 5, 863, 518, 12, 2011, 2013, 97, 2823, 22.05, 343, 28.32, 1986, 0, 0, 0]
['Nasir Hossain', 'Right arm offbreak', 19, 1044, 1917, 30, 924, 442, 8, 2011, 2017, 91, 5462, 39.29, 81, 33.33, 1991, 0, 0, 0]
['Sohrawordi Shuvo', 'Slow left arm orthodox', 1, 15, 40, 2, 297, 146, 4, 2010, 2011, 100, 4185, 34.02, 338, 27.57, 1988, 0, 0, 0]
['Nazimuddin', 'Right arm medium', 3, 125, 320, 6, '-', '-', '-', 2011, 2012, 104, 6269, 36.66, 2, 68.5, 1985, 0, 0, 6]
['Sohag Gazi', 'Right arm offbreak', 10, 325, 529, 15, 3151, 1599, 38, 2012, 2014, 93, 4055, 30.26, 338, 34.39, 1991, 0, 0, 0]
['Abul Hasan', 'Right arm medium fast', 3, 165, 278, 2, 528, 371, 3, 2012, 2013, 35, 1135, 26.39, 73, 33.46, 1992, 0, 0, 0]
['Anamul Haque', '', 4, 73, 220, 8, '-', '-', '-', 2013, 2014, 95, 7083, 46.9, 2, 41.5, 1992, 0, 0, 6]
['Mominul Haque', 'Slow left arm orthodox', 44, 3279, 6032, 77, 625, 394, 4, 2013, 2021, 112, 7722, 41.51, 16, 79.06, 1991, 8, 0, 0]
['Ziaur Rahman', 'Right arm fast medium', 1, 14, 40, 2, 180, 71, 4, 2013, 2014, 123, 4670, 27.63, 210, 25.81, 1986, 0, 0, 0]
['Marshall Ayub', 'Legbreak', 3, 125, 291, 6, 60, 53, 0, 2013, 2014, 140, 8146, 37.36, 44, 39.5, 1988, 0, 0, 0]
['Al-Amin Hossain', 'Right arm medium fast', 7, 90, 127, 4, 1016, 545, 9, 2013, 2019, 57, 351, 8.35, 157, 27.47, 1990, 0, 0, 0]
['Shamsur Rahman', '', 6, 305, 640, 12, 6, 5, 0, 2014, 2014, 128, 8007, 37.41, 21, 43.33, 1988, 0, 0, 12]
['Shuvagata Hom', 'Right arm offbreak', 8, 244, 437, 11, 846, 506, 8, 2014, 2016, 97, 5268, 38.45, 213, 30.83, 1986, 0, 0, 0]
['Taijul Islam', 'Slow left arm orthodox', 33, 467, 1244, 47, 8535, 4419, 134, 2014, 2021, 79, 1188, 12.5, 330, 29.65, 1992, 0, 0, 0]
